esri_id,esri_idn,GEOID,stcnty,total_pop2016,total_25plus,nHwtindiv,prp_nHwHHs,prp_HSminus,prp_no_auto,prp_not_insured,EstPropPersons5PlusNoEnglish,median_HH_inc
370010201001,370010201001,15000US370010201001,37001,1281,1008,0.8345042935,0.8388625592,0.2916666667,0.0853080569,0.0991412959,0.0187713311,30365
370010201002,370010201002,15000US370010201002,37001,1215,864,0.8469135802,0.9001814882,0.1377314815,0,0.0872427984,0.0213333333,46674
370010201003,370010201003,15000US370010201003,37001,1230,616,0.0894308943,0.0915841584,0.6363636364,0.254950495,0.2609756098,0.275047259,19712
370010201004,370010201004,15000US370010201004,37001,498,417,0.4196787149,0.5266666667,0.5083932854,0.15,0.1827309237,0.2334710744,33214
370010202001,370010202001,15000US370010202001,37001,1326,899,0.4547511312,0.6292906178,0.6885428254,0.0732265446,0.2734138973,0.1895196507,33068
370010202002,370010202002,15000US370010202002,37001,530,370,0.2849056604,0.2599277978,0.7945945946,0.2707581227,0.1528301887,0.2547169811,12275
370010202003,370010202003,15000US370010202003,37001,930,542,0.4612903226,0.6104972376,0.5442804428,0.1022099448,0.0849462366,0.1234567901,23750
370010202004,370010202004,15000US370010202004,37001,1235,771,0.2672064777,0.412371134,0.719844358,0.1134020619,0.2001627339,0.4409052808,23844
370010203001,370010203001,15000US370010203001,37001,588,459,0.2551020408,0.4187725632,0.8191721133,0.1877256318,0.2227891156,0.5119521912,23068
370010203002,370010203002,15000US370010203002,37001,1189,720,0.3406223717,0.3214285714,0.5930555556,0.3316326531,0.046692607,0.1623212784,
370010203003,370010203003,15000US370010203003,37001,1668,1012,0.1870503597,0.1770833333,0.7173913043,0.0833333333,0.2516823688,0.3253618628,38619
370010203004,370010203004,15000US370010203004,37001,2021,1203,0.3052944087,0.4459691252,0.5153782211,0,0.1957383548,0.3613724405,44313
370010203005,370010203005,15000US370010203005,37001,2357,1489,0.2889266016,0.3619763695,0.5889858966,0.0290010741,0.3131098854,0.3886081764,31906
370010204001,370010204001,15000US370010204001,37001,2622,1450,0.2902364607,0.349078341,0.5096551724,0.0322580645,0.2459954233,0.1668851027,38478
370010204002,370010204002,15000US370010204002,37001,1426,816,0.1325385694,0.1629327902,0.6164215686,0.2138492872,0.1646727657,0.1907841552,26004
370010204003,370010204003,15000US370010204003,37001,862,704,0.0429234339,0.0375722543,0.53125,0.0751445087,0.2981438515,0.2714617169,24536
